"","VTID","Positive","stg4_6","stg7_8","stg9_10","stg11_12","stg13_14","stg15_16"
"1","VT0002",0,0,0,0,0,0,0
"2","VT0003",1,0,0,0,0,0,1
"3","VT0004",0,0,0,0,0,0,0
"4","VT0005",0,0,0,0,0,1,1
"5","VT0006",1,1,1,1,1,1,1
"6","VT0007",1,1,1,1,1,1,1
"7","VT0008",0,0,0,0,0,0,0
"8","VT0009",0,0,0,0,0,0,0
"9","VT0010",0,0,0,0,0,0,0
"10","VT0011",0,0,0,0,0,0,0
"11","VT0013",1,1,1,0,0,0,0
"12","VT0015",0,0,0,0,0,0,1
"13","VT0016",0,0,0,0,0,0,0
"14","VT0017",0,0,0,0,0,0,0
"15","VT0018",0,0,0,0,0,0,0
"16","VT0019",0,0,0,0,0,0,0
"17","VT0020",0,0,0,0,0,0,0
"18","VT0021",0,0,0,0,0,0,0
"19","VT0022",0,0,0,0,0,0,0
"20","VT0025",1,0,0,0,0,0,1
"21","VT0104",0,0,0,0,0,0,0
"22","VT0105",0,0,0,0,0,0,0
"23","VT0106",0,0,0,0,0,0,0
"24","VT0107",0,0,0,0,0,1,1
"25","VT0108",1,0,0,0,0,1,1
"26","VT0109",1,0,0,1,1,1,1
"27","VT0112",1,1,1,1,1,1,1
"28","VT0129",0,0,0,0,0,0,0
"29","VT0130",0,0,0,0,1,1,1
"30","VT0131",1,0,0,0,1,1,1
"31","VT0132",1,0,0,0,1,1,1
"32","VT0204",1,0,0,0,0,1,1
"33","VT0205",0,0,0,0,0,0,0
"34","VT0248",0,0,0,0,0,0,0
"35","VT0249",0,0,0,0,0,0,0
"36","VT0250",0,0,0,0,0,0,0
"37","VT0251",0,0,0,0,0,0,0
"38","VT0252",0,0,0,0,0,0,0
"39","VT0255",0,0,0,0,0,0,0
"40","VT0266",0,0,0,0,0,0,0
"41","VT0267",1,0,0,1,1,1,1
"42","VT0268",1,0,0,1,1,1,1
"43","VT0269",0,0,0,0,0,1,0
"44","VT0270",0,0,0,0,1,1,1
"45","VT0274",0,0,0,0,0,0,1
"46","VT0275",0,0,0,0,0,0,0
"47","VT0277",1,0,0,1,1,1,1
"48","VT0278",1,0,1,1,1,1,1
"49","VT0279",1,1,1,1,1,0,0
"50","VT0327",0,0,0,0,0,0,0
"51","VT0341",0,0,0,0,0,0,0
"52","VT0342",1,0,0,0,1,1,1
"53","VT0343",0,0,0,0,0,0,0
"54","VT0345",1,0,0,0,0,0,1
"55","VT0347",0,0,0,0,0,0,0
"56","VT0348",0,0,0,0,0,0,0
"57","VT0349",1,0,0,0,0,1,1
"58","VT0350",0,0,0,0,0,0,0
"59","VT0351",0,0,0,0,0,0,0
"60","VT0353",1,0,0,1,0,0,0
"61","VT0357",0,0,0,0,0,1,1
"62","VT0359",0,0,0,0,0,0,0
"63","VT0360",1,0,0,0,1,1,1
"64","VT0362",0,0,0,0,0,0,0
"65","VT0440",1,0,0,0,1,1,0
"66","VT0441",0,0,0,0,0,0,0
"67","VT0443",1,0,0,0,0,0,1
"68","VT0444",0,0,0,0,0,1,0
"69","VT0445",1,0,0,0,0,1,1
"70","VT0447",0,0,0,0,0,1,1
"71","VT0449",0,0,0,0,0,0,0
"72","VT0450",1,0,0,0,0,1,1
"73","VT0451",1,0,0,0,0,0,1
"74","VT0454",0,0,0,0,0,0,0
"75","VT0455",1,0,0,0,0,1,1
"76","VT0456",0,0,0,0,0,1,1
"77","VT0458",0,0,0,0,0,0,0
"78","VT0460",0,0,0,0,0,0,0
"79","VT0461",0,0,0,0,0,0,0
"80","VT0462",0,0,0,0,0,0,0
"81","VT0463",0,0,0,0,0,0,0
"82","VT0465",1,0,0,0,0,1,1
